Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-05,100.49
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-06,100.49
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-07,100.49
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-08,100.49
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-09,100.49
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-12,100.47
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-13,100.47
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-14,100.46
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-15,100.47
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087r556?miRedirects=1,"1,132969994,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,132969994,1330,184&from=20260105&to=20260119",CA135087R556,CANADA 24/26,Canada,"Canada, Government of...","26,000,000,000",CAD,99.84,2/12/2024,4.000%,1000,,regular interest,,5/1/2026,5/1/2026,,2.0,5/1/2024,4/30/2026,No,2026-01-16,100.46
