Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-05,101.17
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-06,101.2
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-07,101.21
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-08,101.21
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-09,101.2
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-12,101.21
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-13,101.19
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-14,101.21
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-15,101.24
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087p733?miRedirects=1,"1,123653782,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,123653782,1330,184&from=20260105&to=20260119",CA135087P733,CANADA 22/27,Canada,"Canada, Government of...","500,000,000",CAD,100.00,12/2/2022,3.245%,1000,,regular interest,,8/24/2027,2/24/2026,,2.0,2/24/2023,8/23/2027,No,2026-01-16,101.23
