Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-05,101.73
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-06,101.78
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-07,101.78
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-08,101.8
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-09,101.79
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-12,101.81
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-13,101.78
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-14,101.81
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-15,101.84
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-16,101.83
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-bond-2028-ca135087p576?miRedirects=1,"1,122651336,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,122651336,1330,184&from=20260105&to=20260119",CA135087P576,CANADA 22/28,Canada,"Canada, Government of...","15,000,000,000",CAD,99.35,10/21/2022,3.500%,1000,,regular interest,,3/1/2028,3/1/2026,,2.0,3/1/2023,2/29/2028,No,2026-01-19,101.8
