Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-05,98.835
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-06,98.81
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-07,99.21
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-08,99.03
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-09,99.13
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-12,99.13
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-13,99.06
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-14,99.282
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-15,99.39
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087s620?miRedirects=1,"1,141608780,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,141608780,1330,184&from=20260105&to=20260119",CA135087S620,CANADA 25/35,Canada,"Canada, Government of...","39,000,000,000",CAD,99.06,1/10/2025,3.250%,1000,,regular interest,,6/1/2035,6/1/2026,,2.0,6/1/2025,5/31/2035,No,2026-01-16,99.46
