Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-05,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-06,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-07,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-08,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-09,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-12,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-13,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-14,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-15,100.15
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087p816?miRedirects=1,"1,124578091,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,124578091,1330,184&from=20260105&to=20260119",CA135087P816,CANADA 23/26,Canada,"Canada, Government of...","10,000,000,000",CAD,99.47,1/20/2023,3.000%,1000,,regular interest,,4/1/2026,4/1/2026,,2.0,4/1/2023,3/31/2026,No,2026-01-16,100.15
