Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-05,99.47
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-06,99.36
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-07,99.6
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-08,99.49
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-09,99.595
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-12,99.55
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-13,99.51
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-14,99.725
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-15,99.75
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202532-bond-2032-ca135087s968?miRedirects=1,"1,142567197,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,142567197,1330,184&from=20260105&to=20260119",CA135087S968,CANADA 25/32,Canada,"Canada, Government of...","3,500,000,000",CAD,99.52,2/26/2025,3.000%,1000,,regular interest,,3/1/2032,3/1/2026,,2.0,3/1/2025,2/28/2032,No,2026-01-16,99.7
