date,s1,s2,s3,s4,s5
2026-01-05,0.028169344753418573,0.031099099622688392,0.03134756349269372,0.03133618587960316,0.031208871890340273
2026-01-06,0.028248150050034358,0.031159539179949958,0.03137396610939707,0.031487771452629695,0.03141957526877892
2026-01-07,0.02832658585632494,0.030980075970752648,0.03137189246123817,0.031231796430005336,0.031055880568938043
2026-01-08,0.028371584127272455,0.0310569650196312,0.03136578839706894,0.0313706069839038,0.031253144374351116
2026-01-09,0.02837103450578332,0.0309811325384367,0.03136206661963247,0.03122270717366741,0.031047579925101765
2026-01-12,0.028524363991736496,0.03116337092941037,0.031405560245937665,0.031368184374190554,0.03124405119498297
2026-01-13,0.02852334910576574,0.03108354804170375,0.031468167979828314,0.03144180465990413,0.03132975521782777
2026-01-14,0.028557171258641975,0.0308943062297034,0.031531556129420865,0.031146078754236955,0.03091951638305135
2026-01-15,0.02863162892069207,0.030925055170629982,0.031450926927199495,0.031115481421443898,0.0309249974302368
2026-01-16,0.028705254948347643,0.031116003785613477,0.031367107023523695,0.031199489020528024,0.031080783975203197
