,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16
0,0.04214100258541295,0.04224297201726588,0.042344951664563285,0.042548941378481704,0.04275297172716821,0.04295704293763267,0.04316115478286521,0.04326322614215315,0.04336530794389548,0.04336530794389548
3,0.030052741587860532,0.030052741587860532,0.030052741587860532,0.030052741587860532,0.030052741587860532,0.030456852767383698,0.030456852767383698,0.030658968741772714,0.030456852767383698,0.030658968741772714
6,0.01851683523564136,0.01851683523564136,0.01851683523564136,0.01851683523564136,0.018414807348744962,0.018312794785015303,0.01821079765795732,0.018108816194580886,0.018108816194580886,0.018108816194580886
9,0.021627229233854475,0.021627229233854475,0.021627229233854475,0.02159286436508412,0.02155850187991748,0.021524141664849616,0.021489783833385463,0.021489783833385463,0.021489783833385463,0.021489783833385463
13,0.02530955078254921,0.025412786589004123,0.025154745993495466,0.02520634108223023,0.025154745993495466,0.025154745993495466,0.02525794258399403,0.025000000000000022,0.025000000000000022,0.024948431074153652
15,0.025951028143754253,0.025951028143754253,0.025951028143754253,0.025951028143754253,0.025951028143754253,0.025933850419824035,0.025916673263418514,0.02589949690154756,0.02589949690154756,0.02589949690154756
17,0.025662169311544882,0.02568304332380651,0.02547018887416928,0.02550774175615518,0.025399267015745887,0.02546601660287709,0.025361726108531026,0.02515740944363645,0.025153240974759704,0.02529082683759045
20,0.027570644473598825,0.027570644473598825,0.02753597819246354,0.02750131599750605,0.027466657888726344,0.02743200386612446,0.027466657888726344,0.02750131599750605,0.02743200386612446,0.02736270813620651
24,0.02879136228148129,0.02879136228148129,0.028778217388025967,0.02876507328910522,0.02875192987121411,0.028738787247857563,0.02876507328910522,0.02879136228148129,0.028673085424816253,0.028554869406798418
26,0.028709066774172266,0.028876556364411977,0.028541712879086866,0.028697108461346967,0.028501090199279155,0.028625372886017457,0.02868515077279883,0.0283148062626424,0.028302870707557326,0.028422257273632588
