,PC1,PC2,PC3,PC4,PC5
y1,-0.019003756584788613,-0.2687701252488796,-0.896297521953276,0.350436023702101,-0.03531037300347664
y2,-0.38133141494730416,-0.6971256211832418,0.39743403058073556,0.45762209022774125,-0.035077544613473524
y3,0.046705507820187994,0.5662658013821236,0.1345389370561348,0.7966720897004668,0.15612332827740966
y4,-0.5302425610859256,0.2928042872342729,-0.050339251015464694,-0.012939004438416122,-0.7939817490103992
y5,-0.7555704011951834,0.1881148043772003,-0.1343956014896865,-0.18144635428656722,0.5854410576891721
