,y1,y2,y3,y4,y5
y1,1.1291893922309374e-06,1.5887397834120505e-06,-9.130699521254392e-07,5.583086308813118e-07,1.1624762052680276e-06
y2,1.5887397834120505e-06,1.713482520947801e-05,-3.7738524719806973e-06,1.8431571658282265e-05,2.7124493251772665e-05
y3,-9.130699521254392e-07,-3.7738524719806973e-06,2.3914797653824198e-06,-1.4632684499381873e-06,-2.8968062152485637e-06
y4,5.583086308813118e-07,1.8431571658282265e-05,-1.4632684499381873e-06,2.7797111014452946e-05,3.9193268994169084e-05
y5,1.1624762052680276e-06,2.7124493251772665e-05,-2.8968062152485637e-06,3.9193268994169084e-05,5.5647052087166304e-05
