date,1yr_1yr,1yr_2yr,1yr_3yr,1yr_4yr
2026-01-05,0.0340330866156795,0.03293854002109464,0.03239289805075041,0.03196946515871124
2026-01-06,0.034075107377730784,0.03293868017138202,0.032568794731965056,0.0322132061033904
2026-01-07,0.033637037424478766,0.03289625990573741,0.03220112436888245,0.031738777883854485
2026-01-08,0.03374590111390363,0.03286454759793678,0.03237126631630716,0.03197417383775569
2026-01-09,0.03359458923260927,0.03285923623416753,0.03217415537293444,0.03171726794902119
2026-01-12,0.03380581108077507,0.032847692615355584,0.03231701018066513,0.0319245425462551
2026-01-13,0.033646978204235456,0.03294218015805228,0.032415555948560826,0.032031963190126245
2026-01-14,0.03323413385342944,0.03302038361939852,0.03200978194329851,0.03151053239158008
2026-01-15,0.03322107420473319,0.032862044888832376,0.03194410789879765,0.03149874454531432
2026-01-16,0.03352961736133375,0.03269934249993067,0.03203158165587583,0.03167510073680457
