,1yr_1yr,1yr_2yr,1yr_3yr,1yr_4yr
1yr_1yr,5.93006346341236e-05,-1.08473525992015e-05,4.681508973136203e-05,6.569516767056386e-05
1yr_2yr,-1.08473525992015e-05,7.30634721896205e-06,-3.113277944609579e-06,-6.453783373170993e-06
1yr_3yr,4.681508973136203e-05,-3.113277944609579e-06,5.1074070591575424e-05,6.851664935673968e-05
1yr_4yr,6.569516767056386e-05,-6.453783373170993e-06,6.851664935673968e-05,9.280009072275015e-05
