,PC1,PC2,PC3,PC4
1yr_1yr,-0.5188309937830072,0.6692498096369616,-0.5314693196301882,-0.02143488938278852
1yr_2yr,0.06260403214521149,-0.5779698876208351,-0.7957641003247959,0.16967922912657302
1yr_3yr,-0.5039446257374058,-0.3672669758005302,0.060915672522578464,-0.7793869793099193
1yr_4yr,-0.6877026604861176,-0.28839290870405,0.28388226391800886,0.6027482403145767
